0,0,0,2.237408352812054e-06,0,1
0,1,7,1.168075414170744e-08,0,1
0,1,8,0.0001134696176450234,0,1
0,2,0,6.342588676488958e-10,0,1
0,2,18,0.001558325483415501,0,1
0,2,20,7.925182785584184e-06,0,1
0,2,21,3.57350324975414e-05,0,1
0,2,28,4.113378508918686e-07,0,1
0,2,31,0.003433512085393886,0,1
0,3,9,2.152228262275457e-08,0,1
0,3,18,0.001138697596275051,0,1
0,3,19,0.2426828519796586,0,1
0,3,20,0.8271734000619256,0,1
0,4,5,1.794273885025177e-08,0,1
0,5,20,0.02629889926475727,0,1
0,5,36,0.0001071703184152284,0,1
0,5,43,8.475879781144613e-06,0,1
0,7,3,2.179203875130042e-07,0,1
0,9,0,0.2991770849275781,0,1
0,9,3,5.358569410418568e-06,0,1
0,9,19,0.0007594297853756871,0,1
0,9,31,3.247225777158746e-08,0,1
0,9,35,5.537685865419917e-10,0,1
0,9,37,0.008464307465942511,0,1
0,10,2,0.0001350984022110424,0,1
0,10,15,3.231169409900758e-05,0,1
0,10,44,0.006374575437162355,0,1
0,11,2,1.212376901094103e-06,0,1
0,11,9,0.0001463555753389301,0,1
0,11,10,8.043500088206201e-05,0,1
0,11,33,0.008393350965719748,0,1
0,11,37,1.12881934910547e-08,0,1
0,12,3,2.025271533057094e-05,0,1
0,12,5,0.01761665958633785,0,1
0,12,12,4.827064401524694e-05,0,1
0,12,15,2.532081225581351e-06,0,1
0,12,40,0.003465019755822141,0,1
0,13,3,0.005540576965586297,0,1
0,13,8,0.001693644438546471,0,1
0,13,14,4.395697033032775e-07,0,1
0,13,35,0.0009810887569301485,0,1
0,14,7,0.007502730824057835,0,1
0,14,11,0.03715057865847946,0,1
0,14,44,0.0005319715257812649,0,1
0,15,2,5.057586349721532e-09,0,1
0,15,7,0.3240904298204441,0,1
0,15,8,2.295423995660429,0,1
0,15,9,1.030237892125734,0,1
0,15,15,2.911779915848456e-06,0,1
0,15,20,3.637109102783143e-06,0,1
0,16,0,5.84011559112696e-07,0,1
0,16,5,0.0006081147683971722,0,1
0,16,9,5.045269858783286e-06,0,1
0,16,10,2.216553752987238e-06,0,1
0,16,11,1.666876414674334e-09,0,1
0,16,12,6.183199730003253e-08,0,1
0,16,19,0.0007935296029017991,0,1
0,16,26,0.01227919079610729,0,1
0,17,5,1.821821570047177e-06,0,1
0,17,6,0.6884577288621243,0,1
0,17,11,0.007192502702503212,0,1
0,17,18,0.0007319863644852376,0,1
0,18,0,3.419459517317591e-06,0,1
0,18,3,0.04782516104751267,0,1
0,18,6,0.4817283871115488,0,1
0,18,8,0.0009081643888587676,0,1
0,18,9,0.04093045381578762,0,1
0,18,19,6.17414684711548e-07,0,1
0,18,37,6.273376129684038e-08,0,1
0,18,45,0.03229628415851536,0,1
0,19,12,3.1321970254794e-05,0,1
0,19,16,0.09543960854432498,0,1
0,19,26,1.134571903094184e-08,0,1
0,19,27,0.007645978645086871,0,1
0,19,34,7.571588866994716e-08,0,1
0,20,0,0.0001868575058097122,0,1
0,20,18,0.003132518703635012,0,1
0,21,3,1.731336851662491e-08,0,1
0,21,6,0.03661557624669132,0,1
0,21,24,0.001540306144079295,0,1
0,21,44,0.006166633062207438,0,1
0,22,4,0.00155974354108683,0,1
0,22,13,1.030189196171705e-07,0,1
0,22,22,2.132503595930757e-08,0,1
0,22,32,0.02619144298783757,0,1
0,22,38,0.02017365246319969,0,1
0,23,0,0.9407987179534985,0,1
0,23,20,8.018560038181022e-09,0,1
0,23,25,5.175875899200085,0,1
0,24,23,0.0006701409726019847,0,1
0,24,41,0.00295632216773356,0,1
0,24,45,1.150598222920962e-06,0,1
0,25,7,5.571526344283484e-06,0,1
0,25,13,0.04356965034742188,0,1
0,25,20,2.508474949536321e-06,0,1
0,25,27,6.820336352575396e-06,0,1
0,26,18,3.389006144516316e-05,0,1
0,26,21,1.039197502450406e-05,0,1
0,26,22,0.0002038599890283876,0,1
0,26,23,0.0001148366399092993,0,1
0,26,32,1.41638111017528e-07,0,1
0,26,33,1.039074163600162e-06,0,1
0,27,9,0.01818589112622249,0,1
0,27,11,7.583299940720696,0,1
0,27,21,0.04033512939633965,0,1
0,27,22,8.605017262652837e-05,0,1
0,28,3,5.488573151524179e-09,0,1
0,28,29,0.09057689311703143,0,1
0,29,1,0.0001837155379007527,0,1
0,29,4,3.169210083342477e-05,0,1
0,29,5,8.570659144879755e-05,0,1
0,29,15,0.1062824095297401,0,1
0,29,16,5.822633647767361e-05,0,1
0,29,22,2.634283191582654e-08,0,1
0,29,33,4.291684092549986e-05,0,1
0,30,4,1.82561346946386e-05,0,1
0,30,6,1.340519474979374e-06,0,1
0,30,19,2.567893307059421e-05,0,1
0,30,23,0.011061632122060945,0,1
0,30,34,1.38379618874751e-09,0,1
0,30,38,2.041360858129337e-07,0,1
0,31,3,5.414920860857819e-05,0,1
0,31,4,8.790900392341428e-05,0,1
