label,voxels_hit,total_energy,max_energy,core_energy,surface_energy,surf_core_ratio,mean_depth_vox,center_hits
Gamma,3417,858.5532534311056,1.819423389634773,127.44621377004208,558.1394634229448,4.379411886099851,12.769711986266456,True
Neutron,21325,5045.259424271365,6.805792777329657,818.1354710624514,3296.2579141121096,4.028987900783113,13.678094548362438,True
Carbon Ion,10898,633828.4937896471,498.4216501887594,103019.88395419843,404119.79839327314,3.9227359115735423,12.26807996423844,True
Alpha,1823,27500.0,49.5,19111.465442130626,8388.534557869374,0.4389268098393498,24.46721227796839,True
